id,name,host_name,host_since,host_acceptance_rate,host_is_superhost,price
7381.0,Chalet Chocolat in medieval alpine village,Paula,2009-05-31,67.0,False,87.0
26809.0,"Quiet bedroom, private bathroom",Eric,2010-03-17,91.75,False,296.5
50123.0,Not Available any longer,Christopher,2010-09-09,91.75,False,762.0
129558.0,Vos vacances à Lausanne,Carol,2011-05-29,86.25,False,350.25
259823.0,"Spacious, quiet, downtown, near lake & transports",David,2011-11-02,94.5,False,260.75
268195.0,"Chalet Balthazar 4 - Central Villars, Great Views",David,2011-11-14,78.0,True,395.0
282240.0,Wonderful LOFT PRIVAT in citycenter,Mike,2011-12-04,100.0,False,179.0
347194.0,Castle in the hill. Stunning view 1,Anne Et Maureen,2012-02-16,100.0,True,249.0
361490.0,Castle in the hill. Stunning view 2,Anne Et Maureen,2012-02-16,100.0,True,220.0
441365.0,Centré 2 pieces superbe appartement,Inès,2012-04-22,55.0,False,100.0
465603.0,Spacious room - private bathroom,Elisabeth,2012-05-07,88.0,True,42.0
481748.0,Duplex! Center of Vevey. Character!,Milica,2012-05-16,63.5,False,191.0
484112.0,Great lake views and beautiful modern flat,Natalia,2011-12-04,94.5,False,260.75
545587.0,Bright 2nd floor Business/ Holiday apartment,Lars,2011-03-14,100.0,True,157.0
563402.0,Heidi Chalet Alps - Unique Experience - Authentic,Moriya,2012-06-28,51.0,True,475.0
580402.0,"A4C3Coeur de ville, chambre privée",Inès,2012-04-22,55.0,False,98.25
592411.0,Minuit Soleil Room in the Lavaux!,Danièle,2012-07-13,56.0,True,55.0
605354.0,Chambre double située à Cully ! Wc/douche privatif,Claire,2012-07-20,93.0,True,90.0
614885.0,"""Silvano"" private room and bathroom",Danièle,2012-07-13,56.0,True,50.0
614923.0,Bambou Room right in the Lavaux !,Danièle,2012-07-13,56.0,True,80.0
630291.0,White Double room in Cully Village wc/douche privé,Claire,2012-07-20,93.0,True,90.0
734992.0,house with a view,Caroline,2012-10-11,83.0,False,88.75
806451.0,Sunset on the Leman Lake - Montreux,Anne,2013-06-10,100.0,False,180.0
932282.0,"A3/C2 Coeur de Ville, Magnifique chambre",Inès,2012-04-22,55.0,False,60.0
966106.0,Modern apartment in the mountains with sauna,Jillian And David,2013-02-28,100.0,False,130.0
970278.0,20 min:Lausanne/Neuchâtel,Barbara & Roger,2013-03-03,100.0,False,115.0
998336.0,Duplex flat in Gstaad / Rougemeont,Sebastien,2013-03-16,84.5,False,86.0
1040903.0,Face to the lake and the Alps!,Odile Et Finn,2013-04-02,80.0,True,49.0
1117582.0,View Magnifique Lac Léman - Chardonne,Gavin & Jenny,2013-04-28,50.0,False,390.0
1127066.0,Historical Chalet Gryon-Les Plans,Olivier Nicolas,2013-05-01,97.0,True,230.0
1134905.0,Loft en milieu rural à Eclagnens,Jean-Daniel,2013-05-04,42.0,False,125.0
1140136.0,La Chambre #11,Marie-France,2010-10-14,100.0,True,180.0
1157613.0,Stunning Suite with a view in the vineyards,Anne Et Maureen,2012-02-16,100.0,True,270.0
1182243.0,Cozy apartment in beautiful garden!,Christine,2013-05-19,0.0,False,75.0
1189018.0,NYON  -  SUPERB flat by the lake,Michelle,2010-07-30,100.0,False,225.0
1209679.0,Ski in/out Retro modern chalet w/ stunning views,Ben,2013-05-17,88.0,False,142.0
1237327.0,H2otes,Sandrine,2013-06-05,0.0,False,79.0
1262248.0,Single bedroom in Morges 10 min from train station,Michel,2013-04-22,33.0,False,65.0
1285195.0,Nice 1 bedroom flat in Lausanne,Youssef,2013-06-19,71.0,False,113.5
1318979.0,Studio Les Avants sur Montreux,Kristyna,2013-06-28,96.0,False,70.0
1349096.0,Entire flat with panoramic Mont Blanc view,Claire,2013-03-24,58.0,False,100.0
1371803.0,65sqm w/balcony in heart of town,Djamel,2012-10-17,90.0,True,120.0
1388711.0,Chalet aux pieds des pistes avec places de parcs,Dejan,2013-07-16,89.0,False,149.75
1411747.0,"Stylish, cosy and independent cottage",Nathalie,2013-07-20,93.0,True,180.0
1418503.0,Comfortable flat in city center (80m2),Aïcha,2013-06-11,46.0,False,125.0
1500807.0,Living and vacation in garden eden and palm oasis,Bent,2013-08-08,67.0,False,99.0
1516660.0,Chalet pieds dans l'eau lac de Joux,Alexandre,2013-08-10,100.0,False,250.0
1519749.0,Perle de Lavaux with outstanding Lake Léman views,Jean & Beatrix,2013-08-12,93.0,True,170.0
1523160.0,Appart au coeur de Lausanne,Maira,2013-01-19,86.0,False,181.0
1533295.0,"Nyon center, cosy & calm, 5 min walk to lake",Louise,2013-08-15,74.0,False,70.0
1544283.0,Charming apartment with parking,Valeh,2013-08-18,85.0,True,130.0
1553553.0,Comfortable room in the city center,Aïcha,2013-06-11,46.0,False,104.0
1558799.0,Nice flat close to the lake,Veronika,2011-08-09,82.0,False,266.25
1664994.0,Joli studio refait à neuf plein cœur de Lausanne,Gregory,2013-09-13,100.0,True,99.0
1730957.0,"Cosy flat, recently renovated, 15 min from Gstaad",Cecilia,2013-09-25,100.0,False,300.0
1757721.0,Century-old Swiss chalet with views to die for,Damien,2013-10-05,100.0,False,350.0
1814514.0,A4C2 très grande et belle chambre,Inès,2012-04-22,55.0,False,62.0
1816290.0,"A3C2 Belle chambre, centre ville",Inès,2012-04-22,55.0,False,60.0
1816791.0,A3C1 Superbe chambre avec TV et WIF,Inès,2012-04-22,55.0,False,68.0
1817066.0,Chambre 44,Inès,2012-04-22,55.0,False,60.0
1817193.0,Très belle chambre centrée a4c1,Inès,2012-04-22,55.0,False,60.0
